"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","barber full",,,"Worksheet","grip factors export"
"Vehicle","lamborghinievogt3",,,"Vehicle Desc","lamborghinievogt3"
"Driver","Joao G Alves",,,"Engine ID",""
"Device","ADL"
"Comment","baseline.sto",,,"Session","Test"
"Log Date","05/04/2022",,,"Origin Time","0.000","s"
"Log Time","23:09:48",,,"Start Time","0.000","s"
"Sample Rate","100.000","Hz",,"End Time","260.317","s"
"Duration","260.317","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","10358","m"
"Beacon Markers","98.317 183.236 "


"Time","Distance","Ground Speed","G Force Lat","G Force Long","Lap Distance","Tyre Pres FL","Tyre Pres FR","Tyre Pres RL","Tyre Pres RR","Throttle Pos","Brake","Steering Wheel Angle"
"s","m","km/h","G","G","m","kPa","kPa","kPa","kPa","%","%","rad"


"0.880","0","0.0033557","0.01898786","-0.00281762","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.890","0","0.0033835","0.01820305","-0.00276829","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.900","0","0.0033703","0.01742013","-0.00282790","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.910","0","0.0033468","0.01907393","-0.00330842","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.920","0","0.0033282","0.02068098","-0.00355975","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.930","0","0.0033196","0.02219450","-0.00335269","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.940","0","0.0035708","0.02213609","-0.00324871","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.950","0","0.0039521","0.02129171","-0.00319627","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.960","0","0.0037706","0.01942506","-0.00325288","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.970","0","0.0035811","0.01831986","-0.00319618","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.980","0","0.0033755","0.01873758","-0.00291287","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.990","0","0.0033566","0.01969640","-0.00294763","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.000","0","0.0034312","0.02092576","-0.00314143","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.010","0","0.0035007","0.02043288","-0.00335924","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.020","0","0.0034676","0.01972730","-0.00348716","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.030","0","0.0032291","0.01859629","-0.00343530","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.040","0","0.0029622","0.01841209","-0.00324161","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.050","0","0.0026809","0.01870130","-0.00297700","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.060","0","0.0028593","0.02045997","-0.00295698","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.070","0","0.0030825","0.02142786","-0.00303038","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.080","0","0.0033950","0.02081417","-0.00329063","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.090","0","0.0035126","0.01976411","-0.00303054","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.100","0","0.0035327","0.01849586","-0.00251029","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.110","0","0.0033880","0.01825344","-0.00282217","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.120","0","0.0032673","0.01866506","-0.00314714","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.130","0","0.0031947","0.02038474","-0.00349830","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.140","0","0.0033895","0.02117090","-0.00341104","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.150","0","0.0037181","0.02149030","-0.00310457","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.160","0","0.0036922","0.01972085","-0.00334857","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.170","0","0.0035633","0.01837850","-0.00340845","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.180","0","0.0032285","0.01789035","-0.00310008","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.190","0","0.0030509","0.01873489","-0.00319105","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.200","0","0.0029520","0.02024578","-0.00348170","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.210","0","0.0031589","0.02114937","-0.00339504","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06220816"
"1.220","0","0.0033194","0.02124775","-0.00333875","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.230","0","0.0033870","0.01973572","-0.00334321","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.240","0","0.0032394","0.01865565","-0.00315156","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.250","0","0.0029840","0.01779157","-0.00286186","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.260","0","0.0028456","0.01902707","-0.00315356","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.270","0","0.0028566","0.02024614","-0.00326152","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.280","0","0.0031666","0.02143235","-0.00300201","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"1.290","0","0.0033567","0.02088076","-0.00308433","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06220816"
"1.300","0","0.0034870","0.01946027","-0.00333758","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.310","0","0.0032552","0.01841149","-0.00308149","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.320","0","0.0030691","0.01806765","-0.00292493","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.330","0","0.0029745","0.01913369","-0.00296739","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.340","0","0.0030477","0.02047654","-0.00298887","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.350","0","0.0032047","0.02195781","-0.00299985","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.360","0","0.0034574","0.02068574","-0.00324485","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.370","0","0.0035525","0.01944413","-0.00331685","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.380","0","0.0033322","0.01826346","-0.00304281","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.390","0","0.0031526","0.01832021","-0.00297319","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.400","0","0.0029934","0.01899568","-0.00300578","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.410","0","0.0030580","0.02064076","-0.00300781","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.420","0","0.0031962","0.02143033","-0.00308461","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.430","0","0.0034815","0.02050888","-0.00331095","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.440","0","0.0034700","0.01935065","-0.00320243","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.450","0","0.0033102","0.01807402","-0.00292648","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.460","0","0.0031117","0.01835540","-0.00294900","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.470","0","0.0029850","0.01910934","-0.00299095","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.480","0","0.0030021","0.02080837","-0.00307178","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.490","0","0.0032438","0.02114526","-0.00322016","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.500","0","0.0035978","0.02080106","-0.00340231","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.510","0","0.0034818","0.01939048","-0.00310530","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.520","0","0.0033178","0.01828309","-0.00291865","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
